time(s),A,B,C,D
0,56,160,-36,294
1,-252,-16,-64,215
2,263,-25,-193,-115
3,-283,266,-53,-10
4,-11,105,110,-79
5,127,-234,61,-283
6,270,-57,103,261
7,-19,-8,262,83
8,-228,291,188,119
9,120,207,-84,165
10,168,-52,181,135
11,69,88,21,97
12,9,-179,255,269
13,198,-73,246,-275
14,-296,-143,-4,-253
15,-101,6,139,-160
16,213,233,-114,84
17,202,-185,-282,208
18,288,-125,-208,118
19,185,75,-50,-91
20,77,80,168,241
21,286,-15,-284,251
22,-105,89,-253,181
23,228,194,-192,248
24,-72,107,113,171
25,64,188,6,-136
26,146,-138,161,167
27,100,114,-110,-64
28,28,-178,-173,-261
29,-216,257,119,69
30,-215,-187,117,-204
31,-55,-125,-202,-158
32,-279,293,189,203
33,-117,293,-131,-81
34,62,-104,-292,30
35,119,16,60,-131
36,128,12,192,-240
37,11,121,-202,-25
38,-55,172,-10,176
39,162,-250,-178,110
40,20,128,-239,-9
41,-101,-114,-261,-238
42,150,-245,-77,-150
43,11,-86,-243,106
44,-252,198,75,-181
45,292,79,1,-136
46,-219,-175,283,-214
47,43,-168,4,38
48,6,-52,29,-134
49,-2,195,-88,279
50,-114,54,257,-118
51,205,177,-281,250
52,98,175,-249,-227
53,-234,226,-145,94
54,-26,36,253,122
55,172,-224,-284,272
56,-128,-204,-252,131
57,-231,-187,273,251
58,234,-160,17,279
59,-94,-246,-2,-157
60,259,52,27,-11
61,89,-282,-107,40
62,185,-84,-174,-283
63,-162,230,-62,57
64,-57,204,255,-110
65,-279,1,-9,-159
66,-215,-209,-171,185
67,200,120,128,204
68,57,-82,-169,-232
69,58,124,28,229
70,243,179,101,234
71,222,-219,237,-240
72,-65,-256,-79,281
73,-267,129,176,-78
74,192,-10,-117,76
75,148,-271,276,-165
76,270,125,-125,50
77,99,-45,215,-142
78,73,47,122,144
79,262,-30,286,67
80,-43,53,64,-107
81,225,-9,141,-235
82,-138,241,173,-104
83,-160,157,20,278
84,-188,29,-77,-4
85,47,258,-109,-90
86,-164,-162,242,24
87,26,272,-226,-148
88,-130,70,-272,123
89,-172,115,155,109
90,59,127,-9,55
91,-84,194,-288,-14
92,-271,-57,59,20
93,262,-93,89,74
94,-253,219,225,-88
95,-168,159,280,172
96,-107,143,-215,87
97,-204,107,-231,-62
98,-19,158,248,74
99,44,107,-267,-90
100,282,-299,232,-254
101,170,55,217,-191
102,-66,27,-15,115
103,259,-201,259,-214
104,-22,115,-62,248
105,-300,100,-146,-293
106,283,-288,-53,157
107,23,130,-80,-15
108,-176,25,-300,-186
109,160,61,-133,48
110,-215,-48,-291,-6
111,193,-105,237,243
112,242,-231,100,74
113,200,-74,-263,190
114,-182,-294,-88,-73
115,280,-167,-75,-36
116,138,25,-108,-98
117,-259,-203,98,-137
118,166,-107,55,-36
119,-69,-242,-90,-125
120,-50,-133,125,-226
121,-298,-156,-236,277
122,-296,-128,-204,-148
123,-196,-61,-284,204
124,-197,62,-40,-220
125,296,-258,35,-60
126,181,-170,-92,133
127,255,114,-13,223
128,105,51,-268,-208
129,56,279,-40,-270
130,-54,-241,-63,113
131,-286,155,-262,-125
132,26,-79,-238,-20
133,289,-222,-110,-87
134,149,-204,268,-134
135,85,-184,272,-103
136,-14,-169,-232,-19
137,-87,235,88,114
138,-24,183,-274,229
139,-68,-189,175,237
140,78,264,-275,-215
141,209,70,118,22
142,228,-285,-168,-250
143,195,233,-242,-39
144,-32,-226,-61,-247
145,75,-228,-114,-60
146,292,-114,213,34
147,199,-38,-170,265
148,-54,138,22,134
149,90,-112,90,49
150,128,-50,107,70
151,185,78,-188,-288
152,164,262,162,-275
153,-231,-250,-20,227
154,-255,-225,-256,-298
155,9,83,-36,21
156,110,-166,4,294
157,196,252,-94,201
158,-48,17,281,-151
159,71,-221,-47,69
160,117,88,140,-161
161,-110,-137,-179,-250
162,-95,125,281,-28
163,-21,-300,-157,176
164,209,-113,222,-123
165,28,269,24,-238
166,-182,6,144,-60
167,200,-291,217,6
168,-57,88,-89,233
169,-178,143,10,256
170,-3,-252,-173,-33
171,-100,-295,21,196
172,267,29,79,-60
173,48,33,-7,-68
174,211,-265,218,-229
175,-231,-127,-131,292
176,-67,144,141,38
177,281,167,85,-25
178,-20,121,4,270
179,288,-231,-225,264
180,-106,-13,168,6
181,221,-132,-261,65
182,-177,142,-204,252
183,-214,-32,-121,-147
184,265,-6,157,136
185,-220,17,197,-172
186,39,-293,43,-237
187,233,-1,43,88
188,-5,264,297,274
189,183,-78,-209,133
190,-240,39,183,235
191,-218,-256,-89,53
192,18,131,160,-44
193,-95,-282,103,-83
194,-25,-34,140,-31
195,-188,253,-290,-166
196,-40,-285,-16,-176
197,-117,-245,-166,95
198,233,-225,42,-199
199,288,-277,138,-107
200,16,-61,-268,186
201,-134,57,98,-17
202,-221,-54,89,-274
203,238,-259,-244,208
204,-107,-159,294,-45
205,161,-213,292,35
206,14,-293,-91,-58
207,-23,-142,38,-223
208,-280,-238,-26,-115
